,warehouse_id,query_id,total_duration,cpu_h,total_reads,cache_skew,first_read_from_s3,spooling_fraction,spooling_skew,spooling_read_sum,scaling_param,max_cores,max_instance_count
171,6.908167271066536e+18,1.3876742762434726e+18,0.935,4.4444444444444447e-05,0.0006834566593170166,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
172,6.908167271066536e+18,6.664373078532442e+18,2.372,9.999999999999999e-05,0.0057565271854400635,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
173,6.908167271066536e+18,7.657570316466896e+18,1.908,0.0002138888888888889,0.05278730392456055,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
175,6.908167271066536e+18,5.393299094137329e+18,2.571,3.611111111111111e-05,0.00029659271240234375,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
177,4.0811727734576425e+18,7.46499897765888e+18,1.964,0.0002972222222222222,0.0005013048648834229,1e-05,False,0.0,0.0001,0.0,0.95,4.0,1
189,4.769828206584587e+17,2.172567793340861e+18,3.259,6.38888888888889e-05,0.00215911865234375,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
192,5.372484672076947e+18,8.366944816784318e+18,0.712,2.777777777777778e-05,0.0004849433898925781,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
193,5.372484672076947e+18,1.8869728591099735e+18,1.011,3.3333333333333335e-05,4.291534423828125e-06,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
195,5.372484672076947e+18,4.149208693387982e+17,86.549,0.06525833333333333,2.3443684577941895,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
197,5.372484672076947e+18,1.0187160236788518e+18,4.148,9.999999999999999e-05,0.0004906654357910156,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
198,5.372484672076947e+18,3.704857600217134e+17,4.114,4.9999999999999996e-05,0.0005240440368652344,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
201,5.372484672076947e+18,4.4307999410553103e+18,0.696,2.2222222222222223e-05,0.0002636909484863281,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
202,5.372484672076947e+18,5.638427080470626e+18,2.946,0.00010833333333333334,0.0017067492008209229,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
205,5.372484672076947e+18,1.2252418809996278e+18,0.663,4.4444444444444447e-05,0.0005321502685546875,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
206,5.372484672076947e+18,5.985384709149829e+18,2.651,0.000125,0.0013718605041503906,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
207,5.372484672076947e+18,3.5305499297475625e+18,1.821,4.9999999999999996e-05,0.00012063980102539062,1e-05,False,0.0,0.0001,0.0,0.95,2.0,1
209,5.372484672076947e+18,7.872001809895257e+18,1.782,0.00013055555555555555,0.0014238357543945312,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
210,5.372484672076947e+18,2.0423256627556186e+18,5.979,3.0555555555555554e-05,0.0002231597900390625,1e-05,False,0.0,0.0001,0.0,0.95,1.0,1
211,4.8353201053230906e+17,3.832680477632655e+18,44.223,0.008352777777777778,0.03352910280227661,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
295,4.8353201053230906e+17,4.528150777252549e+18,7.571,0.0002138888888888889,0.0015325546264648438,1e-05,False,0.0,0.0001,0.0,0.95,8.0,1
